user_id,parent_asin,rating,timestamp,review_text
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B002BWOW4U,5.0,1311873615000,"this game is a lot better than ufc, the control is easier to fight and do submitions, plus you have a choice of easy, mid. and hard dificulty, so if you feel that mid. is too hard for you; you can put it on easy and still have fun playing the game.  if ea stay with this principals i will continue buying mma rather than ufc."
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B003JBHG90,5.0,1311873808000,"there are very few kids games that will let you play two at the same time, if anyone knows other games than legos games where you can play two player at the sametime like mario bro.  please let me know, thanks."
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B00K5HTPR2,1.0,1426169904000,"If you like to create players, this is not your game, since 2k11 creating a players had gone from bad to worst, this year all of the players you can create look alike, no matter the color, hair.. if no mustache and beard their faces looks old, game play is good but if you cant create a player you like, what's the point? (unless you want to use real players) I will sell my game, and will buy nba live."
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B00QO4NAOO,1.0,1440079911000,"if you are a new customer, and love to create a superstar fast even if is on easy monde this is not for you, I play nba2k, fifa, tigerwoods and madden and it was great on easy mode I could be a superstar controlling the action was simple, so I try to do the same with mlb 15 and it sucks for me, on rookie mode with a 99 overall player and the slider on &#34;my favor&#34; cant get a good feel for the game, strikeout most of the time because the computer pitch a lot of balls on different directions and timing the hit is not enough for the creators of this game you also needs to guess the direction of the ball at the same time, even on the easiest mode, if you like baseball maybe you can put out with that, otherwise, stay away from this game, I will never buy another mlb game, to frustrating."
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B00XZQ58AI,1.0,1444157092000,"First of all, i had buy or pre order every nba 2k since 2000, but since 2k13 this company is doing everything it can to turn their loyal customer away.<br /> 1.  the vc is ok however this year i have spend $60+ in the game and $20 in vc for my player (a 6'5 guard) and can't hit a contested shot or layups even if who's guarding me is 5'11, and that's on rookie mode  if i go to pro or higher i can't do anything, and that's with an 85 overall player. (note Im been playing this game since 2000, so i know how to play and shot the ball and layups)<br /><br />2.  if you like to created a player your choices sucks, all the players you can created have the same face complex (without mustache and beard they all looks old) so all the player you can created at the end looks the same just different skin color and hair.<br /><br />3. spike lee story is bad, and it don't feel you can make it your own, in the past you can make it your player story, you got no choice this year, the nickname freq you can't get out of it, even if you change the name after the rookie season, you will still be call freq 85% of the time, and 100% in pre and post show.<br /><br />4. last year I bought both 2k and ea live, and if 2k is bad, live is worst (gameplay, upgrade players..) I will play 2K over live any day of the week, however 2k is becoming so greedy that I just will not buy anymore basketball games until another company comes to the picture, i will try any company that have an ok nba game, hope some game company start making nba games and take down 2k they know there are no competition thats why they make the experience worst every year. finally, if you like basketball game you got no choice but to buy 2k because ea live is 100% worst, but i'm not buying any more 2k until they start carrying, and stop acting arrogant and greedy."
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B00Z9TLVK0,2.0,1474333075000,"After NBA 2k13, is impossible to create a good looking player, all created player look the same no matter skin color (old,  and if no mustache ugly ) they all look the same no matter if they weight 500 or 80 pounds,  is very disappointed and sad to create a player in NBA 2k now, I will not buy anymore NBA 2k until they fix that problem"
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B01MG6DORB,1.0,1489053369000,"For my career, The bad:<br />1) body type, no matter if you weight 100 pounds or 500 pounds your body will look the same and visually you will be the fattest (FAT) player on the court, if you want to create a slim player  forget about it.<br /><br />2) The story is not longer generally for every one, now is specify (a poor kid with a tragic event that made it to the nba) making you feel like you are playing a scripted game.<br /><br />3) when 2k created my career mode in 2011 it was fun and promising you could talk to GM and ask to get rid of player you didn't like in your team, you could also try to form a big 3 by asking other superstars to join your team, now is sad to see where this company is taking this game<br /><br />4) created a player, before you had lots of choice you could create a good looking player or an ugly one, now if you don't put mustache they all look old, ugly and alike<br /><br />Finally the downfall of EA live,  and lack of competition had made 2k careless"
AHIWHP2TKBEE3UUAWDAXCLCDXSUQ,B076541PNM,1.0,1508458772239,"If any game company outside EA start making nba games it will have my business, 2k has taken greedy to a new level, now they make the game so you can't make a jumper even on good release and PRO setting, I thought well let me give them more money (because $60 is not enough)  I got my player at 90 ovr play 12 minutes quarter and still can't get a consistent F ing jumper on good release, I'm so F ing tired of this a$$hole."
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B07N1XKY1L,5.0,1425448178000,My nephew loves it
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B00002SVOB,5.0,1425448220000,just like when I was a kid
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B0034ZOAKO,3.0,1425448329000,Cheaply made
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B003Y5AHPG,5.0,1425448400000,i love to play the games from my childhood on this!
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B001G7PRL8,5.0,1425448839000,My nephew likes it
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B0029LJIFG,5.0,1425448882000,Fast and easy
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B07VLCRZ21,5.0,1425448913000,My nephew likes it
AHLHXMB3VG73LIXEG4EOJCUGCLKQ,B004LLHFAW,5.0,1425448922000,My nephew likes it
AEHTFE7FCJYDSQOWI73L42M4F77Q,B001QCWRY8,3.0,1338294360000,"Like all games selected, this product is of good quality. Just what I was hoping to play on-line mode. I hope that it fills all my expectations."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B00267S2A0,4.0,1354035771000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B00DOD51UY,4.0,1354035800000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B002I0K956,5.0,1354035893000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B002I0J51U,3.0,1354035911000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B003BLUA64,3.0,1354035914000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B0015AARJI,4.0,1354035934000,"Complies with what is sold, the game is in a very good condition, arrived in the estimated time. On this side of the continent is no products in this category at such a good price."
AEHTFE7FCJYDSQOWI73L42M4F77Q,B005GISQQG,4.0,1363868499000,"Is acquired and tested, was found in good condition and well packaged. Online codes functioned correctly and I am happy with the purchase."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B002BSC4ZS,3.0,1393146834000,"I couldn't get into it, I tried really I did. It's just not happening. Ninja theory, you disappoint me on this one."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B0041HROGG,5.0,1393146957000,"I loved it, I had to revert back to using batteries though. The play and charge kit battery is absolute garbage, eventually stops hold a charge after about 20 charge ups."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B0093FMS3U,5.0,1393147056000,"Good, but Dreamcast version is still superior for the fact there's no slow down in that one.It still holds up to this day even."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B003ANMB6A,3.0,1393147139000,"It's feels very cheap, the analog sticks have too many dead zones. I guess it was okay for super mario 64, but it was nowhere near ideal."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B00OBZNI0O,5.0,1430389818000,"Excellent, thank you."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B00IAVDQCK,1.0,1433841158000,"Now if these had a jack port on the headset itself like the Sony one,  it would be great. The right ear cuff shorted out, now it's useless."
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B07NLRSN12,5.0,1484073573000,Much better framerate than darksiders 2 deathinitive edition. That's for sure.
AG2SGUKVE67FFVIFIBVSRSRNJWWA,B0784BTZBR,5.0,1580265474243,"I like it so far, its simple and basic."
AEWTXJNXFSPAEWCVPSSNAKHFNXRA,B01K2O2RSG,1.0,1493582523000,"This game is just not good at all. Nothing redeemable about it. Even if all the glitches and bugs get fixed, it's still not a passable game.<br /><br />Graphics are not good. Saying they are vintage 2008 would be a compliment, these are not even that good, and this is a Cry Engine game!  The tools were there.<br /><br />The gameplay is not good. Enemy patterns don't make sense or they don't move at all. Sometimes you can drop an enemy and no one goes to inspect for a body and alarm gets randomly triggered. Other times you drop an enemy in front of another enemy and no alarm. Doing a mission 10 times trying to account for a lack of consistency in enemy behavior is the worst.<br /><br />If you must have this game, wait a couple weeks and it will be $10. Even then I would pass. Definitely don't pay full price like I did.  And I liked the last Ghost Warrior games. They ruined this one going open world when they just don't have the chops for that. GW2 was better.<br /><br />I would buy Sniper Elite or GR Wildlands instead, both are far better games."
AEWTXJNXFSPAEWCVPSSNAKHFNXRA,B00Z9THEAQ,5.0,1493983005000,"Fun action shooter. Visuals are great, very captivating. The action feels good. Nice mix of puzzles, shooting, and upgrading your equipment and companions.<br /><br />This game is a ton of fun and I don't have to turn it off if my son walks in. It does have shooting, but it's not nearly as violent as a Call of Duty or something like that."
